id,citing,citing_venue,cited,cited_venue,creation,is_citing_iris,is_cited_iris,flow,citing_issns,cited_issns,citing_scimago_area,citing_scimago_category,citing_doaj_lcc,citing_doaj_subject,cited_scimago_area,cited_scimago_category,cited_doaj_lcc,cited_doaj_subject
oci:06802189245-061701732659,omid:br/06802189245,Monthly Notices Of The Royal Astronomical Society [omid:br/067041753 doi:10.1111/(issn)1365-2966 issn:0035-8711 issn:1365-2966 openalex:S195663288],omid:br/061701732659,The Astrophysical Journal [omid:br/064040542 issn:0004-637X issn:1538-4357 openalex:S1980519],2016-07-20,True,False,Outgoing,"['13652966', '00358711', '13652966']","['0004637X', '15384357']",Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB1-991,Science: Astronomy,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB460-466,Science: Astronomy: Astrophysics
oci:06120485978-061101275224,omid:br/06120485978,Communications In Mathematical Physics [omid:br/0623011170 issn:0010-3616 issn:1432-0916 openalex:S100601982],omid:br/061101275224,Stochastics And Stochastic Reports [omid:br/061101276640 issn:1045-1129 openalex:S175432185],1995-08,True,False,Outgoing,"['00103616', '14320916']",['10451129'],Mathematics; Physics and Astronomy,Mathematical Physics (Q1); Statistical and Nonlinear Physics (Q1),,,,,,
oci:06120320258-06701742709,omid:br/06120320258,Biopolymers [omid:br/061606051 doi:10.1002/(issn)1097-0282 issn:0006-3525 issn:1097-0282 openalex:S56808608],omid:br/06701742709,Journal Of Leukocyte Biology [omid:br/069046993 doi:10.1189/jlb.1938-3673 issn:0741-5400 issn:1938-3673 openalex:S199011235],2013-10-25,True,False,Outgoing,"['10970282', '00063525', '10970282']","['19383673', '07415400', '19383673']","Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science; Medicine",Organic Chemistry (Q2); Biochemistry (Q3); Biomaterials (Q3); Biophysics (Q3); Medicine (miscellaneous) (Q3),,,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine",Cell Biology (Q2); Immunology (Q2); Immunology and Allergy (Q2),,
oci:061102071487-061302056341,omid:br/061102071487,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],omid:br/061302056341,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2015-08-12,True,True,Internal,"['00319007', '10797114']","['00319007', '10797114']",Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:06701513540-0640597570,omid:br/06701513540,Plos One [omid:br/068038897 issn:1932-6203 openalex:S202381698],omid:br/0640597570,Multimedia Tools And Applications [omid:br/064012678 doi:10.1007/11042.1573-7721 issn:1380-7501 issn:1573-7721 openalex:S110206669],2020-08-11,False,True,Incoming,['19326203'],"['15737721', '13807501', '15737721']",Multidisciplinary,Multidisciplinary (Q1),R|Q,Medicine | Science,Computer Science; Engineering,Media Technology (Q1); Computer Networks and Communications (Q2); Hardware and Architecture (Q2); Software (Q2),,
oci:062501597886-06802441060,omid:br/062501597886,Progress Of Theoretical And Experimental Physics [omid:br/0614035189 issn:2050-3911 openalex:S4210202364],omid:br/06802441060,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2017-11-29,False,True,Incoming,['20503911'],"['00319007', '10797114']",Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),QC1-999,Science: Physics,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:06501351571-06201218682,omid:br/06501351571,Physical Review A [omid:br/061032719 issn:1050-2947 issn:1094-1622 openalex:S164566984],omid:br/06201218682,Journal Of The Optical Society Of America B [omid:br/0614026245 issn:0740-3224 issn:1520-8540 openalex:S64486668],2011-12-06,False,True,Incoming,"['10502947', '10941622']","['07403224', '15208540']",,,,,Physics and Astronomy,"Atomic and Molecular Physics, and Optics (Q2); Statistical and Nonlinear Physics (Q3)",,
oci:06303856219-06101155768,omid:br/06303856219,Journal Of Differential Equations [omid:br/061805987 issn:0022-0396 openalex:S200871675],omid:br/06101155768,Multiscale Modeling & Simulation [omid:br/065023852 issn:1540-3459 issn:1540-3467 openalex:S4357572],2022-12,False,True,Incoming,['00220396'],"['15403459', '15403467']",Mathematics,Analysis (Q1); Applied Mathematics (Q1),,,Chemistry; Computer Science; Environmental Science; Mathematics; Physics and Astronomy,Chemistry (miscellaneous) (Q1); Computer Science Applications (Q1); Ecological Modeling (Q1); Modeling and Simulation (Q1); Physics and Astronomy (miscellaneous) (Q1),,
oci:06303002877-06901828290,omid:br/06303002877,Journal Of Crystal Growth [omid:br/061054083 issn:0022-0248 openalex:S10719676],omid:br/06901828290,Crystal Growth & Design [omid:br/0625038021 issn:1528-7483 issn:1528-7505 openalex:S16561315],2013-06,False,True,Incoming,['00220248'],"['15287483', '15287505']",Chemistry; Materials Science; Physics and Astronomy,Condensed Matter Physics (Q2); Materials Chemistry (Q2); Inorganic Chemistry (Q3),,,Chemistry; Materials Science; Physics and Astronomy,Chemistry (miscellaneous) (Q2); Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2),,
oci:061803553872-06103274676,omid:br/061803553872,Nanoscale Advances [omid:br/061041748 issn:2516-0230 openalex:S4210240921],omid:br/06103274676,Advanced Functional Materials [omid:br/0621059878 doi:10.1002/(issn)1616-3028 issn:1616-301X issn:1616-3028 openalex:S135204980],2022,False,True,Incoming,['25160230'],"['16163028', '1616301X', '16163028']",Chemical Engineering; Chemistry; Engineering; Materials Science; Physics and Astronomy,"Atomic and Molecular Physics, and Optics (Q1); Chemistry (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Bioengineering (Q2)",QD1-999,Science: Chemistry,Chemistry; Materials Science; Physics and Astronomy,"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrochemistry (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)",,
oci:0650567683-061302056392,omid:br/0650567683,Physical Review D [omid:br/062509685 issn:2470-0010 issn:2470-0029 openalex:S4210238307],omid:br/061302056392,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2021-12-09,False,True,Incoming,"['24700010', '24700029']","['00319007', '10797114']",Physics and Astronomy,Nuclear and High Energy Physics (Q1); Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:0635074928-062101226234,omid:br/0635074928,German Politics [omid:br/06501027673 issn:0964-4008 issn:1743-8993 openalex:S66394278],omid:br/062101226234,The Political Quarterly [omid:br/0625027059 doi:10.1111/(issn)1467-923x issn:0032-3179 issn:1467-923X openalex:S12780936],2023-05-05,True,False,Outgoing,"['09644008', '17438993']","['00323179', '1467923X']",Social Sciences,Political Science and International Relations (Q1); Sociology and Political Science (Q1),,,Social Sciences,Sociology and Political Science (Q2),,
oci:06130870520-062501605719,omid:br/06130870520,Journal Of Medical Internet Research [omid:br/066020242 issn:1438-8871 openalex:S17147534],omid:br/062501605719,ACM Computing Surveys [omid:br/0617038502 issn:0360-0300 issn:1557-7341 openalex:S157921468],2021-04-15,False,True,Incoming,['14388871'],"['03600300', '15577341']",Computer Science; Medicine,Computer Science Applications (Q1); Health Informatics (Q1),R858-859.7|RA1-1270,Medicine: Medicine (General): Computer applications to medicine. Medical informatics | Medicine: Public aspects of medicine,Computer Science; Mathematics,Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1),,
oci:06103047792-06260209506,omid:br/06103047792,Scientific Reports [omid:br/0616055349 issn:2045-2322 openalex:S196734849],omid:br/06260209506,Methods [omid:br/062304211 issn:1046-2023 issn:1095-9130 openalex:S73539393],2018-08-07,True,False,Outgoing,['20452322'],"['10462023', '10959130']",Multidisciplinary,Multidisciplinary (Q1),R|Q,Medicine | Science,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Molecular Biology (Q3)",,
oci:06302832463-06302833102,omid:br/06302832463,Physics Letters B [omid:br/0626059839 issn:0370-2693 openalex:S173952182],omid:br/06302833102,Physics Letters B [omid:br/0626059839 issn:0370-2693 openalex:S173952182],2005-03,False,True,Incoming,['03702693'],['03702693'],Physics and Astronomy,Nuclear and High Energy Physics (Q1),QC1-999,Science: Physics,Physics and Astronomy,Nuclear and High Energy Physics (Q1),QC1-999,Science: Physics
oci:06220182728-0660523799,omid:br/06220182728,IEEE Journal Of Selected Topics In Quantum Electronics [omid:br/062202349 doi:10.1109/jstqe.2944 issn:1077-260X issn:1558-4542 openalex:S192705446],omid:br/0660523799,Applied Physics Letters [omid:br/067011551 issn:0003-6951 issn:1077-3118 openalex:S105243760],2014-01,True,False,Outgoing,"['1077260X', '15584542']","['00036951', '10773118']",Engineering; Physics and Astronomy,"Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1)",,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:06230572183-06301832962,omid:br/06230572183,Physical Review D [omid:br/062509685 issn:2470-0010 issn:2470-0029 openalex:S4210238307],omid:br/06301832962,Journal Of High Energy Physics [omid:br/062038872 issn:1029-8479 issn:1126-6708 openalex:S187585107],2017-09-12,False,True,Incoming,"['24700010', '24700029']","['10298479', '11266708']",Physics and Astronomy,Nuclear and High Energy Physics (Q1); Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
oci:062501088859-062102786380,omid:br/062501088859,Advances In Complex Systems [omid:br/062501089649 issn:0219-5259 issn:1793-6802],omid:br/062102786380,Journal Of Economic Dynamics And Control [omid:br/066057312 issn:0165-1889 openalex:S44585919],2021-12,False,True,Incoming,"['02195259', '17936802']",['01651889'],Engineering; Multidisciplinary,Multidisciplinary (Q2); Control and Systems Engineering (Q4),,,"Economics, Econometrics and Finance; Mathematics",Applied Mathematics (Q1); Control and Optimization (Q1); Economics and Econometrics (Q1),,
oci:061702448594-061802434239,omid:br/061702448594,Nuclear Physics B [omid:br/069057982 issn:0550-3213 issn:1873-1562 openalex:S4210194812],omid:br/061802434239,Nuclear Physics B [omid:br/069057982 issn:0550-3213 issn:1873-1562 openalex:S4210194812],2007-01,False,True,Incoming,"['05503213', '18731562']","['05503213', '18731562']",Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity,Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
oci:06210511376-061601856058,omid:br/06210511376,Physical Chemistry Chemical Physics [omid:br/064010713 issn:1463-9076 issn:1463-9084 openalex:S181332294],omid:br/061601856058,The Journal Of Physical Chemistry A [omid:br/0621041077 issn:1089-5639 issn:1520-5215 openalex:S146709414],2019,True,False,Outgoing,"['14639076', '14639084']","['10895639', '15205215']",Chemistry; Physics and Astronomy,Physical and Theoretical Chemistry (Q2); Physics and Astronomy (miscellaneous) (Q2),,,Chemistry; Medicine,Medicine (miscellaneous) (Q2); Physical and Theoretical Chemistry (Q2),,
oci:061301651971-06150117935,omid:br/061301651971,The Journal Of Chemical Physics [omid:br/067037880 issn:0021-9606 issn:1089-7690 openalex:S77047749],omid:br/06150117935,Chemical Physics Letters [omid:br/062302564 issn:0009-2614 openalex:S44567922],2001-06-22,False,True,Incoming,"['00219606', '10897690']",['00092614'],Chemistry; Medicine; Physics and Astronomy,Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1); Medicine (miscellaneous) (Q2),,,Chemistry; Physics and Astronomy,Physical and Theoretical Chemistry (Q2); Physics and Astronomy (miscellaneous) (Q2),,
oci:06203216522-06220518451,omid:br/06203216522,Electrophoresis [omid:br/067057521 doi:10.1002/(issn)1522-2683 issn:0173-0835 issn:1522-2683 openalex:S2849398],omid:br/06220518451,Applied Physics Letters [omid:br/067011551 issn:0003-6951 issn:1077-3118 openalex:S105243760],2019-11-11,False,True,Incoming,"['15222683', '01730835', '15222683']","['00036951', '10773118']","Biochemistry, Genetics and Molecular Biology; Chemistry",Analytical Chemistry (Q3); Biochemistry (Q3); Clinical Biochemistry (Q3),,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:06190667533-061302056886,omid:br/06190667533,Chinese Physics C [omid:br/064014073 issn:1674-1137 issn:2058-6132 openalex:S959143335],omid:br/061302056886,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2018-05,False,True,Incoming,"['16741137', '20586132']","['00319007', '10797114']",Physics and Astronomy,Instrumentation (Q1); Astronomy and Astrophysics (Q2); Nuclear and High Energy Physics (Q2),,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:06601529722-06903160332,omid:br/06601529722,Plos One [omid:br/068038897 issn:1932-6203 openalex:S202381698],omid:br/06903160332,CNS & Neurological Disorders - Drug Targets [omid:br/0612061958 issn:1871-5273 openalex:S148418319],2014-02-20,False,True,Incoming,['19326203'],['18715273'],Multidisciplinary,Multidisciplinary (Q1),R|Q,Medicine | Science,"Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics",Medicine (miscellaneous) (Q2); Neuroscience (miscellaneous) (Q2); Pharmacology (Q2),,
oci:06410148250-06220342596,omid:br/06410148250,Journal Of High Energy Physics [omid:br/062038872 issn:1029-8479 issn:1126-6708 openalex:S187585107],omid:br/06220342596,Nature [omid:br/0626016512 issn:0028-0836 issn:1465-7392 issn:1476-4679 issn:1476-4687 issn:1744-7933],2023-08-04,True,False,Outgoing,"['10298479', '11266708']","['00280836', '14657392', '14764679', '14764687', '17447933']",Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity,Multidisciplinary,Multidisciplinary (Q1),,
oci:062201320986-06303725381,omid:br/062201320986,Physical Review A [omid:br/061032719 issn:1050-2947 issn:1094-1622 openalex:S164566984],omid:br/06303725381,Nature Physics [omid:br/0622061045 issn:1745-2473 issn:1745-2481 openalex:S156274416],2015-04-13,False,True,Incoming,"['10502947', '10941622']","['17452473', '17452481']",,,,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:061102072504-061502067146,omid:br/061102072504,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],omid:br/061502067146,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2008-08-22,True,False,Outgoing,"['00319007', '10797114']","['00319007', '10797114']",Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:062102052013-06502449368,omid:br/062102052013,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],omid:br/06502449368,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2021-05-13,True,False,Outgoing,"['00319007', '10797114']","['00319007', '10797114']",Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:06101448074-06402837486,omid:br/06101448074,Physical Review D [omid:br/066033919 issn:1550-2368 issn:1550-7998 openalex:S4210210554],omid:br/06402837486,Physics Letters B [omid:br/0626059839 issn:0370-2693 openalex:S173952182],2013-10-24,False,True,Incoming,"['15502368', '15507998']",['03702693'],,,,,Physics and Astronomy,Nuclear and High Energy Physics (Q1),QC1-999,Science: Physics
oci:061403293685-0625048168,omid:br/061403293685,Theoretical Chemistry Accounts [omid:br/0625060906 issn:0040-5744 issn:1432-2234 issn:1432-881X],omid:br/0625048168,Springer Atmospheric Sciences [omid:br/061102460210 issn:2194-5217 issn:2194-5225 openalex:S4210183228],2020-06-16,True,False,Outgoing,"['00405744', '14322234', '1432881X']","['21945217', '21945225']",Chemistry,Physical and Theoretical Chemistry (Q3),,,,,,
oci:061403819579-062601660909,omid:br/061403819579,Ageing Research Reviews [omid:br/0623059336 issn:1568-1637 openalex:S117312820],omid:br/062601660909,Biological Reviews [omid:br/0603903811 issn:0006-3231 issn:1464-7931 issn:1469-185X],2023-11,False,True,Incoming,['15681637'],"['00063231', '14647931', '1469185X']","Biochemistry, Genetics and Molecular Biology; Neuroscience",Aging (Q1); Biochemistry (Q1); Biotechnology (Q1); Molecular Biology (Q1); Neurology (Q1),,,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)",,
oci:06303921833-061802410513,omid:br/06303921833,Reviews Of Modern Physics [omid:br/0624030091 issn:0034-6861 issn:1539-0756 openalex:S73260565],omid:br/061802410513,Physics Letters B [omid:br/0626059839 issn:0370-2693 openalex:S173952182],1999-04-01,True,False,Outgoing,"['00346861', '15390756']",['03702693'],Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,Nuclear and High Energy Physics (Q1),QC1-999,Science: Physics
oci:06601677270-061402041107,omid:br/06601677270,Zeitschrift Für Physik C Particles And Fields [omid:br/0612035595 issn:0170-9739 issn:1431-5858 issn:1434-6044 issn:1434-6052],omid:br/061402041107,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2016-11-26,False,True,Incoming,"['01709739', '14315858', '14346044', '14346052']","['00319007', '10797114']",Engineering; Physics and Astronomy,Engineering (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1),QB460-466|QC770-798,Science: Astronomy: Astrophysics | Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:06240557593-062301427404,omid:br/06240557593,Physical Review D [omid:br/062509685 issn:2470-0010 issn:2470-0029 openalex:S4210238307],omid:br/062301427404,Physical Review D [omid:br/066033919 issn:1550-2368 issn:1550-7998 openalex:S4210210554],2017-05-01,True,False,Outgoing,"['24700010', '24700029']","['15502368', '15507998']",Physics and Astronomy,Nuclear and High Energy Physics (Q1); Physics and Astronomy (miscellaneous) (Q1),,,,,,
oci:0610760668-06101457218,omid:br/0610760668,Life Sciences In Space Research [omid:br/0610762116 issn:2214-5524 issn:2214-5532 openalex:S2764866528],omid:br/06101457218,Physics Of Life Reviews [omid:br/069041034 issn:1571-0645 issn:1873-1457 openalex:S78119372],2021-08,False,True,Incoming,"['22145524', '22145532']","['15710645', '18731457']",Agricultural and Biological Sciences; Environmental Science; Physics and Astronomy,"Agricultural and Biological Sciences (miscellaneous) (Q1); Radiation (Q1); Astronomy and Astrophysics (Q2); Ecology (Q2); Health, Toxicology and Mutagenesis (Q2)",,,Agricultural and Biological Sciences; Computer Science; Physics and Astronomy,Agricultural and Biological Sciences (miscellaneous) (Q1); Artificial Intelligence (Q1); Physics and Astronomy (miscellaneous) (Q1),,
oci:06302437204-062101422011,omid:br/06302437204,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],omid:br/062101422011,Physical Review D [omid:br/066033919 issn:1550-2368 issn:1550-7998 openalex:S4210210554],2018-05-31,True,False,Outgoing,"['00319007', '10797114']","['15502368', '15507998']",Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,,,,,
oci:0650105609-062101644599,omid:br/0650105609,Chemical Physics [omid:br/061801341 issn:0301-0104 openalex:S190037396],omid:br/062101644599,The Journal Of Chemical Physics [omid:br/067037880 issn:0021-9606 issn:1089-7690 openalex:S77047749],2012-01,False,True,Incoming,['03010104'],"['00219606', '10897690']",Chemistry; Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q2); Physical and Theoretical Chemistry (Q3),,,Chemistry; Medicine; Physics and Astronomy,Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1); Medicine (miscellaneous) (Q2),,
oci:061701660281-061801648762,omid:br/061701660281,The Journal Of Chemical Physics [omid:br/067037880 issn:0021-9606 issn:1089-7690 openalex:S77047749],omid:br/061801648762,The Journal Of Chemical Physics [omid:br/067037880 issn:0021-9606 issn:1089-7690 openalex:S77047749],2000-08-22,False,True,Incoming,"['00219606', '10897690']","['00219606', '10897690']",Chemistry; Medicine; Physics and Astronomy,Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1); Medicine (miscellaneous) (Q2),,,Chemistry; Medicine; Physics and Astronomy,Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1); Medicine (miscellaneous) (Q2),,
oci:06170568348-061901348313,omid:br/06170568348,Bioinformatics [omid:br/0626019667 issn:1367-4803 issn:1367-4811 issn:1460-2059],omid:br/061901348313,Nucleic Acids Research [omid:br/061502934 issn:0305-1048 issn:1362-4962 openalex:S134668137],2009-05-31,True,False,Outgoing,"['13674803', '13674811', '14602059']","['03051048', '13624962']","Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics",Biochemistry (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Molecular Biology (Q1); Statistics and Probability (Q1),QH301-705.5,Science: Biology (General),"Biochemistry, Genetics and Molecular Biology",Genetics (Q1),QH426-470,Science: Biology (General): Genetics
oci:06390149989-06501845190,omid:br/06390149989,Journal Of High Energy Physics [omid:br/062038872 issn:1029-8479 issn:1126-6708 openalex:S187585107],omid:br/06501845190,Journal Of High Energy Physics [omid:br/062038872 issn:1029-8479 issn:1126-6708 openalex:S187585107],2023-03-15,False,True,Incoming,"['10298479', '11266708']","['10298479', '11266708']",Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity,Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
oci:06270168098-06401848890,omid:br/06270168098,Orthopedics [omid:br/063011778 doi:10.3928/01477447 issn:0147-7447 issn:1938-2367 openalex:S157799717],omid:br/06401848890,Journal Of High Energy Physics [omid:br/062038872 issn:1029-8479 issn:1126-6708 openalex:S187585107],2023-05-01,False,True,Incoming,"['01477447', '19382367']","['10298479', '11266708']",Medicine,Surgery (Q2); Orthopedics and Sports Medicine (Q3),,,Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
oci:06130417009-06190694151,omid:br/06130417009,Physica E: Low-dimensional Systems And Nanostructures [omid:br/061908653 issn:1386-9477 issn:1873-1759 openalex:S23074404],omid:br/06190694151,IEEE Journal Of Quantum Electronics [omid:br/0619019289 doi:10.1109/jqe.3 issn:0018-9197 issn:1558-1713 openalex:S80223966],2000-04,False,True,Incoming,"['13869477', '18731759']","['00189197', '15581713']",Materials Science; Physics and Astronomy,"Atomic and Molecular Physics, and Optics (Q2); Condensed Matter Physics (Q2); Electronic, Optical and Magnetic Materials (Q3); Nanoscience and Nanotechnology (Q3)",,,Engineering; Physics and Astronomy,"Atomic and Molecular Physics, and Optics (Q2); Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2)",,
oci:061902254349-06803499835,omid:br/061902254349,Annual Review Of Nuclear And Particle Science [omid:br/061902255057 issn:0163-8998 issn:1545-4134 openalex:S112282628],omid:br/06803499835,Journal Of Physics G: Nuclear And Particle Physics [omid:br/0612059308 issn:0954-3899 issn:1361-6471 openalex:S78376336],2008-11-01,False,True,Incoming,"['01638998', '15454134']","['09543899', '13616471']",Physics and Astronomy,Nuclear and High Energy Physics (Q1),,,Physics and Astronomy,Nuclear and High Energy Physics (Q1),,
oci:06802391310-06160790032,omid:br/06802391310,Frontiers In Psychiatry [omid:br/0615045162 issn:1664-0640 openalex:S92766711],omid:br/06160790032,MMWR. Surveillance Summaries [omid:br/06160791207 issn:1545-8636 issn:1546-0738 openalex:S4210189843],2019-09-20,True,False,Outgoing,['16640640'],"['15458636', '15460738']",Medicine,Psychiatry and Mental Health (Q1),RC435-571,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system: Psychiatry,Environmental Science; Health Professions; Medicine; Social Sciences,"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)",,
oci:062403443211-06110493469,omid:br/062403443211,Npj Quantum Information [omid:br/062301172938 issn:2056-6387 openalex:S2738600312],omid:br/06110493469,Science [omid:br/0619015403 doi:10.1126/science issn:0036-8075 issn:1095-9203 openalex:S3880285],2022-08-10,False,True,Incoming,['20566387'],"['00368075', '10959203']",Computer Science; Physics and Astronomy,Computational Theory and Mathematics (Q1); Computer Networks and Communications (Q1); Computer Science (miscellaneous) (Q1); Statistical and Nonlinear Physics (Q1),QC1-999|QA75.5-76.95,Science: Physics | Science: Mathematics: Instruments and machines: Electronic computers. Computer science,Arts and Humanities; Multidisciplinary,History and Philosophy of Science (Q1); Multidisciplinary (Q1),,
oci:062602089650-06302859372,omid:br/062602089650,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],omid:br/06302859372,Nuclear Physics B [omid:br/069057982 issn:0550-3213 issn:1873-1562 openalex:S4210194812],2002-07-23,False,True,Incoming,"['00319007', '10797114']","['05503213', '18731562']",Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity
oci:06802863787-061501728007,omid:br/06802863787,Monthly Notices Of The Royal Astronomical Society [omid:br/067041753 doi:10.1111/(issn)1365-2966 issn:0035-8711 issn:1365-2966 openalex:S195663288],omid:br/061501728007,The Astrophysical Journal [omid:br/064040542 issn:0004-637X issn:1538-4357 openalex:S1980519],2013-10-16,True,False,Outgoing,"['13652966', '00358711', '13652966']","['0004637X', '15384357']",Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB1-991,Science: Astronomy,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB460-466,Science: Astronomy: Astrophysics
oci:061304088514-061501912171,omid:br/061304088514,Annals Of PDE [omid:br/06130843367 issn:2199-2576 issn:2524-5317 openalex:S4210183302],omid:br/061501912171,Manuscripta Mathematica [omid:br/0612039969 issn:0025-2611 issn:1432-1785 openalex:S40116370],2024-01-29,True,False,Outgoing,"['21992576', '25245317']","['00252611', '14321785']",Mathematics; Physics and Astronomy,Analysis (Q1); Applied Mathematics (Q1); Geometry and Topology (Q1); Mathematical Physics (Q1); Physics and Astronomy (miscellaneous) (Q1),,,Mathematics,Mathematics (miscellaneous) (Q1),,
oci:061402129003-06160717241,omid:br/061402129003,Chem [omid:br/065045986 issn:2451-9294 openalex:S2898106599],omid:br/06160717241,Nanoscale [omid:br/0626023148 doi:10.1039/2040-3372/2009 issn:2040-3364 issn:2040-3372 openalex:S23181512],2017-11,False,True,Incoming,['24519294'],"['20403372', '20403364', '20403372']","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Environmental Science; Materials Science; Medicine",Biochemistry (Q1); Biochemistry (medical) (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Materials Chemistry (Q1),,,Materials Science,Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q2),,
