id,citing,citing_venue,cited,cited_venue,creation,is_citing_iris,is_cited_iris,flow,citing_issns,cited_issns,citing_scimago_area,citing_scimago_category,citing_doaj_lcc,citing_doaj_subject,cited_scimago_area,cited_scimago_category,cited_doaj_lcc,cited_doaj_subject
oci:06601833864-06302832295,omid:br/06601833864,Journal Of High Energy Physics [omid:br/062038872 issn:1029-8479 issn:1126-6708 openalex:S187585107],omid:br/06302832295,Physics Letters B [omid:br/0626059839 issn:0370-2693 openalex:S173952182],2015-08,False,True,Incoming,"['10298479', '11266708']",['03702693'],Physics and Astronomy,Nuclear and High Energy Physics (Q2),QC770-798,Science: Physics: Nuclear and particle physics. Atomic energy. Radioactivity,Physics and Astronomy,Nuclear and High Energy Physics (Q1),QC1-999,Science: Physics
oci:062103964744-0680571070,omid:br/062103964744,Journal Of Physics G: Nuclear And Particle Physics [omid:br/0612059308 issn:0954-3899 issn:1361-6471 openalex:S78376336],omid:br/0680571070,Physical Review D [omid:br/062509685 issn:2470-0010 issn:2470-0029 openalex:S4210238307],2022-12-22,True,False,Outgoing,"['09543899', '13616471']","['24700010', '24700029']",Physics and Astronomy,Nuclear and High Energy Physics (Q1),,,Physics and Astronomy,Nuclear and High Energy Physics (Q1); Physics and Astronomy (miscellaneous) (Q1),,
oci:0660631153-0680531976,omid:br/0660631153,Physical Review B [omid:br/0616012786 issn:0163-1829 issn:1095-3795 issn:1098-0121 issn:1550-235X],omid:br/0680531976,Applied Physics Letters [omid:br/067011551 issn:0003-6951 issn:1077-3118 openalex:S105243760],2011-05-18,True,False,Outgoing,"['01631829', '10953795', '10980121', '1550235X']","['00036951', '10773118']",,,,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:06702761745-06303754990,omid:br/06702761745,Foundations Of Science [omid:br/06702762683 issn:1233-1821 issn:1572-8471 openalex:S137799894],omid:br/06303754990,Journal Of Logic And Computation [omid:br/0611071020 issn:0955-792X issn:1465-363X openalex:S47057106],2021-04-10,True,False,Outgoing,"['12331821', '15728471']","['0955792X', '1465363X']",Arts and Humanities; Multidisciplinary,History and Philosophy of Science (Q1); Multidisciplinary (Q2),,,Arts and Humanities; Computer Science; Mathematics,Arts and Humanities (miscellaneous) (Q1); Hardware and Architecture (Q2); Logic (Q2); Software (Q3); Theoretical Computer Science (Q3),,
oci:062201719945-06301737291,omid:br/062201719945,The Astrophysical Journal [omid:br/064040542 issn:0004-637X issn:1538-4357 openalex:S1980519],omid:br/06301737291,The Astrophysical Journal [omid:br/064040542 issn:0004-637X issn:1538-4357 openalex:S1980519],2019-05-16,True,False,Outgoing,"['0004637X', '15384357']","['0004637X', '15384357']",Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB460-466,Science: Astronomy: Astrophysics,Earth and Planetary Sciences; Physics and Astronomy,Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1),QB460-466,Science: Astronomy: Astrophysics
oci:06202205475-06130482023,omid:br/06202205475,Structure [omid:br/0612038300 issn:0969-2126 openalex:S7112016],omid:br/06130482023,Science [omid:br/0619015403 doi:10.1126/science issn:0036-8075 issn:1095-9203 openalex:S3880285],2019-01,True,False,Outgoing,['09692126'],"['00368075', '10959203']","Biochemistry, Genetics and Molecular Biology",Molecular Biology (Q1); Structural Biology (Q1),,,Arts and Humanities; Multidisciplinary,History and Philosophy of Science (Q1); Multidisciplinary (Q1),,
oci:062102054604-061902059241,omid:br/062102054604,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],omid:br/061902059241,Journal Of The Physical Society Of Japan [omid:br/064044758 issn:0031-9015 issn:1347-4073 openalex:S119212824],2006-04-18,True,False,Outgoing,"['00319007', '10797114']","['00319015', '13474073']",Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q2),,
oci:061401771704-061703322009,omid:br/061401771704,Chemical Physics Reviews [omid:br/061401772701 issn:2688-4070 openalex:S4210232899],omid:br/061703322009,Theoretical Chemistry Accounts [omid:br/0625060906 issn:0040-5744 issn:1432-2234 issn:1432-881X],2022-06,True,False,Outgoing,['26884070'],"['00405744', '14322234', '1432881X']",,,,,Chemistry,Physical and Theoretical Chemistry (Q3),,
oci:061901427636-061402041375,omid:br/061901427636,Physical Review D [omid:br/066033919 issn:1550-2368 issn:1550-7998 openalex:S4210210554],omid:br/061402041375,Physical Review Letters [omid:br/063044243 issn:0031-9007 issn:1079-7114 openalex:S24807848],2015-12-08,False,True,Incoming,"['15502368', '15507998']","['00319007', '10797114']",,,,,Physics and Astronomy,Physics and Astronomy (miscellaneous) (Q1),,
oci:06102819012-06601634585,omid:br/06102819012,Cancer Management And Research [omid:br/0621052364 doi:10.2147/cmar issn:1179-1322 openalex:S2764554612],omid:br/06601634585,BMC Biology [omid:br/061040208 issn:1741-7007 openalex:S25903957],2019-12,False,True,Incoming,['11791322'],['17417007'],Medicine,Oncology (Q2),RC254-282,Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biotechnology (Q1); Cell Biology (Q1); Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Physiology (Q1); Plant Science (Q1); Structural Biology (Q1)",QH301-705.5,Science: Biology (General)
