id,citing,cited,creation,is_citing_iris,is_cited_iris
oci:061501268922-0680611605,omid:br/061501268922,omid:br/0680611605,2022-06-29,false,true
oci:061102163112-06402516526,omid:br/061102163112,omid:br/06402516526,2022-06,false,true
oci:062103511100-061701215098,omid:br/062103511100,omid:br/061701215098,2022-12,true,false
oci:061503342614-06260570892,omid:br/061503342614,omid:br/06260570892,2022-06,false,true
oci:062203427019-06502874163,omid:br/062203427019,omid:br/06502874163,2022-10,false,true
oci:0640683487-0620149889,omid:br/0640683487,omid:br/0620149889,2022-06-30,false,true
oci:062502307409-06260583407,omid:br/062502307409,omid:br/06260583407,2022,false,true
oci:061301262075-06260161845,omid:br/061301262075,omid:br/06260161845,2022-06-28,false,true
oci:06302830185-06401688682,omid:br/06302830185,omid:br/06401688682,2022-09,true,true
oci:062203514315-06802185491,omid:br/062203514315,omid:br/06802185491,2022-11,true,false
oci:062303546312-06902334060,omid:br/062303546312,omid:br/06902334060,2022-08,true,false
oci:061402065931-061401551370,omid:br/061402065931,omid:br/061401551370,2022-06-30,true,false
oci:061103561589-0640841486,omid:br/061103561589,omid:br/0640841486,2022-10-06,false,true
oci:061601022493-06180349403,omid:br/061601022493,omid:br/06180349403,2022-06-28,false,true
oci:062503537315-06201272009,omid:br/062503537315,omid:br/06201272009,2022-10-07,false,true
oci:061801161797-0650873936,omid:br/061801161797,omid:br/0650873936,2022-06-30,false,true
oci:0603894392-061802815308,omid:br/0603894392,omid:br/061802815308,2022-10-07,false,true
oci:062103526312-062401225137,omid:br/062103526312,omid:br/062401225137,2022-10-01,false,true
oci:06901326407-064701796,omid:br/06901326407,omid:br/064701796,2022-06-30,false,true
oci:06703902886-06110492525,omid:br/06703902886,omid:br/06110492525,2022-10-07,true,false
oci:0640290571-061701550998,omid:br/0640290571,omid:br/061701550998,2022-11,true,false
oci:062602120662-06403463164,omid:br/062602120662,omid:br/06403463164,2022-07,false,true
oci:06603136863-061302608732,omid:br/06603136863,omid:br/061302608732,2022-10,true,false
oci:0630219308-06180856676,omid:br/0630219308,omid:br/06180856676,2022-11,false,true
oci:0640290571-06250648256,omid:br/0640290571,omid:br/06250648256,2022-11,true,false
oci:061403427555-06803010663,omid:br/061403427555,omid:br/06803010663,2022-07-01,false,true
oci:064207645-06210158775,omid:br/064207645,omid:br/06210158775,2022-06-28,true,false
oci:061702616860-061901856074,omid:br/061702616860,omid:br/061901856074,2022-06-29,true,false
oci:062403029791-06802866539,omid:br/062403029791,omid:br/06802866539,2022-11,false,true
oci:061103552375-062103323888,omid:br/061103552375,omid:br/062103323888,2022-12,false,true
oci:061703521421-06801167801,omid:br/061703521421,omid:br/06801167801,2022-11,false,true
oci:064207645-062502732378,omid:br/064207645,omid:br/062502732378,2022-06-28,true,true
oci:06203954013-06220719629,omid:br/06203954013,omid:br/06220719629,2022-10-07,false,true
oci:0620698484-0650393278,omid:br/0620698484,omid:br/0650393278,2022-06,false,true
oci:061803490962-06201789171,omid:br/061803490962,omid:br/06201789171,2023-02,false,true
oci:062601870776-06180245219,omid:br/062601870776,omid:br/06180245219,2022-11,false,true
oci:061402065931-0620687286,omid:br/061402065931,omid:br/0620687286,2022-06-30,true,false
oci:06190281421-06120714059,omid:br/06190281421,omid:br/06120714059,2022-08,true,false
oci:061702616860-0636019836,omid:br/061702616860,omid:br/0636019836,2022-06-29,true,false
oci:062303521876-06260985321,omid:br/062303521876,omid:br/06260985321,2022-10-06,false,true
oci:06901326473-061101317758,omid:br/06901326473,omid:br/061101317758,2022-06-28,false,true
oci:06903557945-061802815120,omid:br/06903557945,omid:br/061802815120,2022-10-07,false,true
oci:062402346002-061201030361,omid:br/062402346002,omid:br/061201030361,2022-06-27,false,true
oci:06803955053-0618066305,omid:br/06803955053,omid:br/0618066305,2022-11,false,true
oci:061402065931-0620687151,omid:br/061402065931,omid:br/0620687151,2022-06-30,true,false
oci:062602120662-064401424,omid:br/062602120662,omid:br/064401424,2022-07,false,true
oci:062203514315-061302031990,omid:br/062203514315,omid:br/061302031990,2022-11,true,false
oci:062601627134-0640680785,omid:br/062601627134,omid:br/0640680785,2022-08,false,true
oci:061903525972-0630600948,omid:br/061903525972,omid:br/0630600948,2022-11,false,true
oci:062202664267-0628013923,omid:br/062202664267,omid:br/0628013923,2022-07-18,true,true
oci:062303533773-062201168084,omid:br/062303533773,omid:br/062201168084,2022-10-06,false,true
