ror,legal_name,country_code,country_name,count,italian_institution,year_block,direction
https://ror.org/058w5nk68,Union College,US,United States,36,UNIBO,2006-2010,incoming
https://ror.org/058wb7691,Renesas Electronics (Japan),JP,Japan,4,UNIBO,2006-2010,incoming
https://ror.org/058x5eq06,Beijing Haidian Hospital,CN,China,10,UNIBO,2006-2010,incoming
https://ror.org/058x7dy48,Royal United Hospital Bath NHS Trust,GB,United Kingdom,24,UNIBO,2006-2010,incoming
https://ror.org/058xqe166,Kingston Hospital NHS Trust,GB,United Kingdom,3,UNIBO,2006-2010,incoming
https://ror.org/058xqwv02,Voluntary Health Services Hospital,IN,India,1,UNIBO,2006-2010,incoming
https://ror.org/058xzat49,Max Planck Institute of Immunobiology and Epigenetics,DE,Germany,3,UNIBO,2006-2010,incoming
https://ror.org/058y0nn10,Wan Fang Hospital,TW,Taiwan,36,UNIBO,2006-2010,incoming
https://ror.org/058zs5j81,Institute for Reproductive and Family Health,VN,Vietnam,1,UNIBO,2006-2010,incoming
https://ror.org/058zz0t50,California Southern University,US,United States,7,UNIBO,2006-2010,incoming
https://ror.org/059091v77,Onco Lille,FR,France,4,UNIBO,2006-2010,incoming
https://ror.org/0590dbq33,SINTEF Energy Research,NO,Norway,52,UNIBO,2006-2010,incoming
https://ror.org/0590dnz19,Fu Wai Hospital,CN,China,43,UNIBO,2006-2010,incoming
https://ror.org/0590fg074,Environmental Health,GB,United Kingdom,3,UNIBO,2006-2010,incoming
https://ror.org/0590pq693,Vilnius University Hospital Santariskiu Klinikos,LT,Lithuania,3,UNIBO,2006-2010,incoming
https://ror.org/0591s4t67,Servicio Gallego de Salud,ES,Spain,43,UNIBO,2006-2010,incoming
https://ror.org/05923xh51,Ludwig Cancer Research,BE,Belgium,53,UNIBO,2006-2010,incoming
https://ror.org/0592ben86,Indian Institute of Public Health Gandhinagar,IN,India,1,UNIBO,2006-2010,incoming
https://ror.org/05932h694,Idiap Research Institute,CH,Switzerland,2,UNIBO,2006-2010,incoming
https://ror.org/05933aq68,Shizuoka University of Welfare,JP,Japan,7,UNIBO,2006-2010,incoming
https://ror.org/0593p4448,International Rice Research Institute,PH,Philippines,24,UNIBO,2006-2010,incoming
https://ror.org/0594s0e67,Carolinas Healthcare System,US,United States,85,UNIBO,2006-2010,incoming
https://ror.org/0594ske86,VA Nebraska Western Iowa Health Care System,US,United States,6,UNIBO,2006-2010,incoming
https://ror.org/05953j253,Virginia Tech Transportation Institute,US,United States,1,UNIBO,2006-2010,incoming
https://ror.org/0595gz585,University of Gondar,ET,Ethiopia,2,UNIBO,2006-2010,incoming
https://ror.org/05961na22,Marine Hydrophysical Institute,RU,Russia,1,UNIBO,2006-2010,incoming
https://ror.org/059636586,Istanbul Technical University,TR,Turkey,494,UNIBO,2006-2010,incoming
