flow,citing_loc_label,cited_loc_label,weight
Outgoing,POLITICAL SCIENCE,Others,9068
Outgoing,AGRICULTURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,9053
Outgoing,EDUCATION,Others,9049
Incoming,LANGUAGE AND LITERATURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,8978
Incoming,LANGUAGE AND LITERATURE,SOCIAL SCIENCES,8926
Incoming,Others,GEOGRAPHY. ANTHROPOLOGY. RECREATION,8853
Internal,MEDICINE,TECHNOLOGY,8758
Internal,AGRICULTURE,MEDICINE,8571
Incoming,AGRICULTURE,EDUCATION,8459
Incoming,AGRICULTURE,POLITICAL SCIENCE,8427
Outgoing,TECHNOLOGY,PHILOSOPHY. PSYCHOLOGY. RELIGION,8025
Internal,SOCIAL SCIENCES,SOCIAL SCIENCES,7997
Incoming,LANGUAGE AND LITERATURE,EDUCATION,7902
Incoming,LANGUAGE AND LITERATURE,POLITICAL SCIENCE,7894
Incoming,Multidisciplinary,AGRICULTURE,7854
Incoming,POLITICAL SCIENCE,Others,7462
Incoming,EDUCATION,Others,7447
Internal,SOCIAL SCIENCES,GEOGRAPHY. ANTHROPOLOGY. RECREATION,7346
Outgoing,AGRICULTURE,Others,7324
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SOCIAL SCIENCES,7305
Internal,MEDICINE,AGRICULTURE,7089
Internal,PHILOSOPHY. PSYCHOLOGY. RELIGION,MEDICINE,6992
Incoming,AGRICULTURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,6880
Internal,MEDICINE,PHILOSOPHY. PSYCHOLOGY. RELIGION,6682
Internal,EDUCATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,6621
Internal,POLITICAL SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,6619
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,EDUCATION,6542
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,POLITICAL SCIENCE,6530
