flow,citing_loc_label,cited_loc_label,weight
Internal,TECHNOLOGY,SCIENCE,23081
Internal,SCIENCE,TECHNOLOGY,22432
Incoming,SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,22281
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,TECHNOLOGY,22041
Outgoing,MEDICINE,LANGUAGE AND LITERATURE,21283
Outgoing,Others,SCIENCE,21122
Outgoing,TECHNOLOGY,AGRICULTURE,20916
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,19712
Incoming,Multidisciplinary,Multidisciplinary,18552
Outgoing,SOCIAL SCIENCES,PHILOSOPHY. PSYCHOLOGY. RELIGION,18263
Internal,AGRICULTURE,AGRICULTURE,18147
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,SOCIAL SCIENCES,17132
Outgoing,AGRICULTURE,TECHNOLOGY,17105
Outgoing,Others,Others,17039
Outgoing,SCIENCE,LANGUAGE AND LITERATURE,16628
Outgoing,SOCIAL SCIENCES,AGRICULTURE,16569
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,16468
Outgoing,EDUCATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,16452
Outgoing,POLITICAL SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,16410
Outgoing,LANGUAGE AND LITERATURE,MEDICINE,15701
Outgoing,Multidisciplinary,Multidisciplinary,15561
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,PHILOSOPHY. PSYCHOLOGY. RELIGION,14939
Incoming,MEDICINE,LANGUAGE AND LITERATURE,14858
Incoming,Others,Others,14852
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,EDUCATION,14668
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,POLITICAL SCIENCE,14638
Incoming,AGRICULTURE,TECHNOLOGY,14567
Incoming,LANGUAGE AND LITERATURE,SCIENCE,14303
Incoming,TECHNOLOGY,Multidisciplinary,14216
Outgoing,Multidisciplinary,AGRICULTURE,14040
Outgoing,LANGUAGE AND LITERATURE,SCIENCE,13910
Outgoing,TECHNOLOGY,Multidisciplinary,13713
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,13314
Outgoing,AGRICULTURE,SOCIAL SCIENCES,13176
Outgoing,EDUCATION,AGRICULTURE,12961
Outgoing,POLITICAL SCIENCE,AGRICULTURE,12937
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Multidisciplinary,12493
Internal,AGRICULTURE,MEDICINE,12336
Internal,SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,12136
Incoming,SOCIAL SCIENCES,AGRICULTURE,12055
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,11952
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,LANGUAGE AND LITERATURE,11530
Incoming,Multidisciplinary,AGRICULTURE,11475
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,LANGUAGE AND LITERATURE,11441
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Multidisciplinary,11439
Incoming,SOCIAL SCIENCES,PHILOSOPHY. PSYCHOLOGY. RELIGION,11152
Outgoing,LANGUAGE AND LITERATURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,11075
Outgoing,SOCIAL SCIENCES,LANGUAGE AND LITERATURE,10687
Incoming,SCIENCE,LANGUAGE AND LITERATURE,10552
Incoming,EDUCATION,AGRICULTURE,10496
Incoming,POLITICAL SCIENCE,AGRICULTURE,10438
Outgoing,AGRICULTURE,EDUCATION,10357
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,10305
Outgoing,AGRICULTURE,POLITICAL SCIENCE,10267
Internal,TECHNOLOGY,TECHNOLOGY,10067
Incoming,EDUCATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,10000
Incoming,POLITICAL SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,9983
Internal,TECHNOLOGY,MEDICINE,9981
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,9955
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,SOCIAL SCIENCES,9946
Internal,MEDICINE,AGRICULTURE,9899
Outgoing,LANGUAGE AND LITERATURE,SOCIAL SCIENCES,9813
Outgoing,LANGUAGE AND LITERATURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,9733
Incoming,AGRICULTURE,SOCIAL SCIENCES,9720
Outgoing,EDUCATION,LANGUAGE AND LITERATURE,9700
Outgoing,POLITICAL SCIENCE,LANGUAGE AND LITERATURE,9688
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,EDUCATION,8762
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,POLITICAL SCIENCE,8754
Outgoing,LANGUAGE AND LITERATURE,EDUCATION,8662
Outgoing,LANGUAGE AND LITERATURE,POLITICAL SCIENCE,8649
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,MEDICINE,8619
Internal,SCIENCE,Multidisciplinary,8531
Outgoing,LANGUAGE AND LITERATURE,LANGUAGE AND LITERATURE,8395
Incoming,AGRICULTURE,EDUCATION,8361
Incoming,AGRICULTURE,POLITICAL SCIENCE,8337
Incoming,TECHNOLOGY,SOCIAL SCIENCES,8297
Outgoing,TECHNOLOGY,SOCIAL SCIENCES,8161
Outgoing,AGRICULTURE,PHILOSOPHY. PSYCHOLOGY. RELIGION,7934
Outgoing,SOCIAL SCIENCES,TECHNOLOGY,7755
Outgoing,AGRICULTURE,Others,7710
Incoming,TECHNOLOGY,Others,7664
Internal,MEDICINE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,7374
Outgoing,TECHNOLOGY,Others,7195
Incoming,SOCIAL SCIENCES,TECHNOLOGY,7134
Internal,MEDICINE,Multidisciplinary,6909
Incoming,TECHNOLOGY,EDUCATION,6897
Incoming,TECHNOLOGY,POLITICAL SCIENCE,6860
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Others,6756
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,LANGUAGE AND LITERATURE,6722
Outgoing,EDUCATION,TECHNOLOGY,6590
Outgoing,Multidisciplinary,GEOGRAPHY. ANTHROPOLOGY. RECREATION,6559
Outgoing,POLITICAL SCIENCE,TECHNOLOGY,6508
Internal,MEDICINE,TECHNOLOGY,6505
Outgoing,TECHNOLOGY,EDUCATION,6377
Incoming,SOCIAL SCIENCES,LANGUAGE AND LITERATURE,6355
Outgoing,TECHNOLOGY,POLITICAL SCIENCE,6342
Outgoing,Others,SOCIAL SCIENCES,6315
Incoming,Others,TECHNOLOGY,6272
Outgoing,SOCIAL SCIENCES,Others,6236
Incoming,LANGUAGE AND LITERATURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,6195
Incoming,EDUCATION,TECHNOLOGY,6106
Incoming,POLITICAL SCIENCE,TECHNOLOGY,6079
Internal,Multidisciplinary,SCIENCE,6038
