flow,citing_loc_label,cited_loc_label,weight
Outgoing,LANGUAGE AND LITERATURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,1150
Outgoing,AGRICULTURE,TECHNOLOGY,1112
Outgoing,LANGUAGE AND LITERATURE,EDUCATION,1111
Outgoing,LANGUAGE AND LITERATURE,POLITICAL SCIENCE,1107
Incoming,TECHNOLOGY,Multidisciplinary,1029
Outgoing,TECHNOLOGY,SOCIAL SCIENCES,1013
Incoming,LANGUAGE AND LITERATURE,SCIENCE,993
Internal,TECHNOLOGY,TECHNOLOGY,970
Outgoing,SOCIAL SCIENCES,Others,969
Incoming,SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,966
Internal,AGRICULTURE,SCIENCE,953
Incoming,AGRICULTURE,TECHNOLOGY,938
Internal,SCIENCE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,937
Outgoing,SOCIAL SCIENCES,LANGUAGE AND LITERATURE,936
Outgoing,Others,SOCIAL SCIENCES,930
Outgoing,SOCIAL SCIENCES,AGRICULTURE,918
Internal,SCIENCE,AGRICULTURE,913
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,LANGUAGE AND LITERATURE,910
Outgoing,Multidisciplinary,AGRICULTURE,909
Outgoing,SOCIAL SCIENCES,TECHNOLOGY,879
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Multidisciplinary,835
Incoming,Others,Others,821
Internal,TECHNOLOGY,MEDICINE,818
Outgoing,POLITICAL SCIENCE,LANGUAGE AND LITERATURE,817
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,SCIENCE,814
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,PHILOSOPHY. PSYCHOLOGY. RELIGION,807
Outgoing,EDUCATION,AGRICULTURE,804
Outgoing,POLITICAL SCIENCE,AGRICULTURE,803
Outgoing,EDUCATION,LANGUAGE AND LITERATURE,780
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Multidisciplinary,733
Outgoing,TECHNOLOGY,EDUCATION,731
Outgoing,TECHNOLOGY,POLITICAL SCIENCE,723
Outgoing,POLITICAL SCIENCE,TECHNOLOGY,688
Incoming,TECHNOLOGY,SOCIAL SCIENCES,675
Outgoing,EDUCATION,TECHNOLOGY,674
Incoming,SOCIAL SCIENCES,TECHNOLOGY,661
Incoming,TECHNOLOGY,Others,654
Outgoing,TECHNOLOGY,Others,652
Outgoing,Others,GEOGRAPHY. ANTHROPOLOGY. RECREATION,642
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,SOCIAL SCIENCES,637
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,623
Internal,MEDICINE,TECHNOLOGY,621
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Others,616
Outgoing,AGRICULTURE,SOCIAL SCIENCES,600
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,MEDICINE,579
Outgoing,Others,TECHNOLOGY,574
Incoming,Others,SOCIAL SCIENCES,563
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,560
Internal,AGRICULTURE,MEDICINE,549
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Others,547
Incoming,SCIENCE,LANGUAGE AND LITERATURE,544
Outgoing,Others,POLITICAL SCIENCE,543
Outgoing,Others,EDUCATION,543
Internal,AGRICULTURE,AGRICULTURE,538
Incoming,EDUCATION,TECHNOLOGY,532
Incoming,TECHNOLOGY,POLITICAL SCIENCE,528
Incoming,TECHNOLOGY,EDUCATION,528
Incoming,POLITICAL SCIENCE,TECHNOLOGY,527
Incoming,SOCIAL SCIENCES,PHILOSOPHY. PSYCHOLOGY. RELIGION,524
Outgoing,POLITICAL SCIENCE,Others,522
Incoming,MEDICINE,LANGUAGE AND LITERATURE,521
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,POLITICAL SCIENCE,519
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,EDUCATION,518
Incoming,SOCIAL SCIENCES,Others,503
Incoming,SOCIAL SCIENCES,AGRICULTURE,500
Outgoing,EDUCATION,Others,494
Outgoing,AGRICULTURE,EDUCATION,491
Outgoing,AGRICULTURE,POLITICAL SCIENCE,483
Incoming,Others,TECHNOLOGY,481
Outgoing,Multidisciplinary,TECHNOLOGY,478
Incoming,Others,GEOGRAPHY. ANTHROPOLOGY. RECREATION,472
Outgoing,Multidisciplinary,GEOGRAPHY. ANTHROPOLOGY. RECREATION,470
Incoming,POLITICAL SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,469
Incoming,Multidisciplinary,AGRICULTURE,468
Incoming,EDUCATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,467
Internal,MEDICINE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,457
Internal,MEDICINE,AGRICULTURE,443
Incoming,EDUCATION,AGRICULTURE,440
Incoming,POLITICAL SCIENCE,AGRICULTURE,438
Internal,SCIENCE,Multidisciplinary,435
Internal,MEDICINE,Multidisciplinary,424
Outgoing,PHILOSOPHY. PSYCHOLOGY. RELIGION,TECHNOLOGY,420
Internal,GEOGRAPHY. ANTHROPOLOGY. RECREATION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,417
Incoming,LANGUAGE AND LITERATURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,413
Incoming,LANGUAGE AND LITERATURE,SOCIAL SCIENCES,413
Incoming,AGRICULTURE,SOCIAL SCIENCES,386
Incoming,Others,POLITICAL SCIENCE,378
Incoming,Others,EDUCATION,378
