flow,citing_loc_label,cited_loc_label,weight
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,13414
Incoming,SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,13164
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,SCIENCE,12947
Outgoing,GEOGRAPHY. ANTHROPOLOGY. RECREATION,LANGUAGE AND LITERATURE,12823
Outgoing,AGRICULTURE,TECHNOLOGY,12445
Incoming,SOCIAL SCIENCES,PHILOSOPHY. PSYCHOLOGY. RELIGION,12415
Outgoing,LANGUAGE AND LITERATURE,MEDICINE,12390
Outgoing,SOCIAL SCIENCES,LANGUAGE AND LITERATURE,12000
Outgoing,SCIENCE,LANGUAGE AND LITERATURE,11945
Outgoing,SOCIAL SCIENCES,AGRICULTURE,11891
Incoming,EDUCATION,PHILOSOPHY. PSYCHOLOGY. RELIGION,11149
Incoming,POLITICAL SCIENCE,PHILOSOPHY. PSYCHOLOGY. RELIGION,11134
Outgoing,AGRICULTURE,SOCIAL SCIENCES,11006
Incoming,LANGUAGE AND LITERATURE,MEDICINE,10981
Outgoing,Multidisciplinary,AGRICULTURE,10970
Outgoing,LANGUAGE AND LITERATURE,SCIENCE,10931
Incoming,Others,Others,10921
Outgoing,Others,SOCIAL SCIENCES,10755
Incoming,TECHNOLOGY,AGRICULTURE,10639
Incoming,Multidisciplinary,Multidisciplinary,10576
Outgoing,EDUCATION,LANGUAGE AND LITERATURE,10529
Outgoing,POLITICAL SCIENCE,LANGUAGE AND LITERATURE,10504
Outgoing,Multidisciplinary,Multidisciplinary,10191
Incoming,PHILOSOPHY. PSYCHOLOGY. RELIGION,GEOGRAPHY. ANTHROPOLOGY. RECREATION,10050
Outgoing,EDUCATION,AGRICULTURE,9982
Outgoing,LANGUAGE AND LITERATURE,GEOGRAPHY. ANTHROPOLOGY. RECREATION,9976
Incoming,GEOGRAPHY. ANTHROPOLOGY. RECREATION,Multidisciplinary,9973
Outgoing,POLITICAL SCIENCE,AGRICULTURE,9945
