Broad;Narrow;
47_Language,_Communication_and_Culture;4703_Language_Studies;
47_Language,_Communication_and_Culture;4704_Linguistics;
47_Language,_Communication_and_Culture;4705_Literary_Studies;
47_Language,_Communication_and_Culture;4799_Other_language,_communication_and_culture;
48_Law_and_Legal_Studies;4801_Commercial_Law;
48_Law_and_Legal_Studies;4802_Environmental_and_Resources_Law;
48_Law_and_Legal_Studies;4803_International_and_Comparative_Law;
48_Law_and_Legal_Studies;4804_Law_In_Context;
48_Law_and_Legal_Studies;4805_Legal_Systems;
48_Law_and_Legal_Studies;4806_Private_Law_and_Civil_Obligations;
48_Law_and_Legal_Studies;4807_Public_Law;
48_Law_and_Legal_Studies;4899_Other_law_and_legal_sciences;
49_Mathematical_Sciences;4901_Applied_Mathematics;
49_Mathematical_Sciences;4902_Mathematical_Physics;
49_Mathematical_Sciences;4903_Numerical_and_Computational_Mathematics;
49_Mathematical_Sciences;4904_Pure_Mathematics;
49_Mathematical_Sciences;4905_Statistics;
49_Mathematical_Sciences;4999_Other_mathematical_sciences;
50_Philosophy_and_Religious_Studies;5001_Applied_Ethics;
50_Philosophy_and_Religious_Studies;5002_History_and_Philosophy_Of_Specific_Fields;
50_Philosophy_and_Religious_Studies;5003_Philosophy;
50_Philosophy_and_Religious_Studies;5004_Religious_Studies;
50_Philosophy_and_Religious_Studies;5005_Theology;
50_Philosophy_and_Religious_Studies;5099_Other_philosophy_and_religius_studies;
51_Physical_Sciences;5101_Astronomical_Sciences;
51_Physical_Sciences;5102_Atomic,_Molecular_and_Optical_Physics;
51_Physical_Sciences;5103_Classical_Physics;
51_Physical_Sciences;5104_Condensed_Matter_Physics;
51_Physical_Sciences;5105_Medical_and_Biological_Physics;
51_Physical_Sciences;5106_Nuclear_and_Plasma_Physics;
51_Physical_Sciences;5107_Particle_and_High_Energy_Physics;
51_Physical_Sciences;5108_Quantum_Physics;
51_Physical_Sciences;5109_Space_Sciences;
51_Physical_Sciences;5110_Synchrotrons_and_Accelerators;
51_Physical_Sciences;5199_Other_physical_sciences;
52_Psychology;5201_Applied_and_Developmental_Psychology;
52_Psychology;5202_Biological_Psychology;
52_Psychology;5203_Clinical_and_Health_Psychology;
52_Psychology;5204_Cognitive_and_Computational_Psychology;
52_Psychology;5205_Social_and_Personality_Psychology;
52_Psychology;5299_Other_psychology;
